Product Urls,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTAwMzQ3MjU2NDMwNzE6MTcxMDI2OTM1OTpzcF9hdGZfbmV4dDozMDAxNDQxMDU5NjE5MzI6OjA6Og&url=%2FWaterproof-Laptop-Backpack-Business-Dimensions%2Fdp%2FB0CTQ9GN3R%2Fref%3Dsr_1_65_sspa%3Fdib%3DeyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269359%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:30x45 CM) (Compatible with 15.6"" laptop) 30 L,","5,999",4.0 out of 5 stars,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTAwMzQ3MjU2NDMwNzE6MTcxMDI2OTM1OTpzcF9hdGZfbmV4dDozMDAxNDA0MTA5Nzg4MzI6OjA6Og&url=%2FFlexible-bags-Branded-College-Backpack%2Fdp%2FB0CTFQ1Y7P%2Fref%3Dsr_1_66_sspa%3Fdib%3DeyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1710269359%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Flexible bags Medium 25L Laptop, Travel, College, School Backpack","5,999",4.0 out of 5 stars,"9,308"
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_67?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-67,DEIN KLEIDER Nylon Sling Cross Body Travel Bag,"9,499",4.0 out of 5 stars,"9,741"
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_68?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-68,ADISA Laptop Backpack 31 Ltrs,499,3.6 out of 5 stars,84
https://www.amazon.in/Skybags-LUMOUS-LAPTOP-BACKPACK-BLUE/dp/B0CJ41HXW1/ref=sr_1_69?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-69,Skybags LUMOUS LAPTOP BACKPACK (E),499,Previous page,"6,554"
https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_70?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-70,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",346,Next page,949
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP08/dp/B07N8HR66T/ref=sr_1_71?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-71,Tommy Hilfiger Joshua Polyester 20.61L Laptop Backpack For Unisex - Navy,399,4.2 out of 5 stars,195
https://www.amazon.in/Hilfiger-Laptop-Backpack-TH-ANDROIDLAP01/dp/B07N8PMDJV/ref=sr_1_72?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-72,Tommy Hilfiger Android Polyester 29L Laptop Backpack For Unisex - Black,888,4.3 out of 5 stars,164
https://www.amazon.in/Red-Lemon-Ironlook-Briefcase-Anti-Theft/dp/B09ZYMT7V1/ref=sr_1_73?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-73,Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,849,4.1 out of 5 stars,"2,089"
https://www.amazon.in/Fur-Jaden-Backpack-Trekking-BM38_Brown/dp/B07LBMV4NR/ref=sr_1_74?dib=eyJ2IjoiMSJ9.0CB8F44YH_logiNzvIwBv3rMSyNX-C2yJvy8YxGlx5dcsaRsG48YCH9emoY8ldZwNRCjvv5JGG8CEtwQdMBOjBQlpR0XNlb26O6nhEw9k6RNMJ5s85Hge5Ra2-LgCN6vi3zHthDC2NE5fQ5gvZpOP_Y8fgaJ1KErRRsos5coLx1ju5BFV0HHRYZSzHeQhlhg3qToL3u76AuzHNHxypbGxhULn6GU667pnlXiiHCEwIM.mtMJbz5JpwU904TCJ_uYuUGYDkTbO6bDDJW9g-wilwQ&dib_tag=se&keywords=bags&qid=1710269359&sr=8-74,FUR JADEN Brown Leatherette Anti Theft Casual Laptop Backpack with 15.6 Inch Laptop Pocket,"1,599",4.4 out of 5 stars,160
